time,open,high,low,close,volume,ticker
2020-02-03,6600,6670,6600,6600,24760,ITD
2020-02-04,6600,6600,6310,6600,9060,ITD
2020-02-05,6600,6600,6600,6600,6770,ITD
2020-02-06,6530,6600,6490,6490,9680,ITD
2020-02-07,6600,6820,6600,6600,7580,ITD
2020-02-10,6600,6670,6600,6670,3820,ITD
2020-02-11,6600,6820,6600,6670,9110,ITD
2020-02-12,6600,6670,6600,6600,23340,ITD
2020-02-13,6590,6590,6530,6560,10800,ITD
2020-02-14,6530,6590,6380,6590,31940,ITD
2020-02-17,6590,6670,6520,6600,22000,ITD
2020-02-18,6590,6750,6520,6750,40350,ITD
2020-02-19,6600,6750,6600,6750,49200,ITD
2020-02-20,6750,6750,6610,6750,27460,ITD
2020-02-21,6750,6750,6750,6750,29600,ITD
2020-02-24,6750,6750,6750,6750,10,ITD
2020-02-25,6750,6750,6710,6750,650,ITD
2020-02-26,6750,6750,6750,6750,10,ITD
2020-02-27,6750,6750,6750,6750,0,ITD
2020-02-28,6710,6710,6710,6710,1000,ITD
2020-03-02,6710,6710,6670,6670,850,ITD
2020-03-03,6670,6670,6600,6600,2980,ITD
2020-03-04,6600,6600,6530,6600,150,ITD
2020-03-05,6600,6600,6450,6530,8480,ITD
2020-03-06,6490,6600,6450,6600,29860,ITD
2020-03-09,6490,6600,6230,6230,26090,ITD
2020-03-10,6230,6230,6010,6230,17960,ITD
2020-03-11,6170,6180,6050,6180,10300,ITD
2020-03-12,5790,6090,5750,5750,15360,ITD
2020-03-13,5510,5760,5360,5720,41010,ITD
2020-03-16,5680,5680,5350,5680,4350,ITD
2020-03-17,5390,5680,5390,5680,35310,ITD
2020-03-18,5680,5780,5540,5780,23120,ITD
2020-03-19,5520,5760,5390,5760,31020,ITD
2020-03-20,5400,5720,5380,5720,50310,ITD
2020-03-23,5350,5390,5320,5320,42890,ITD
2020-03-24,5330,5350,5320,5350,25800,ITD
2020-03-25,5350,5620,5130,5620,20970,ITD
2020-03-26,5480,5650,5480,5500,9580,ITD
2020-03-27,5500,5570,5500,5500,12060,ITD
2020-03-30,5430,5450,5280,5430,14590,ITD
2020-03-31,5450,5450,5140,5350,12300,ITD
2020-04-01,5350,5350,5350,5350,520,ITD
2020-04-03,5350,5570,5350,5500,52650,ITD
2020-04-06,5500,5720,5430,5540,211350,ITD
2020-04-07,5540,5790,5540,5790,50060,ITD
2020-04-08,5790,5790,5570,5790,1390,ITD
2020-04-09,5790,5790,5650,5760,31700,ITD
2020-04-10,5760,5940,5760,5760,138350,ITD
2020-04-13,5980,5980,5760,5800,102380,ITD
2020-04-14,5820,5940,5790,5820,85920,ITD
2020-04-15,5790,6090,5790,6090,188000,ITD
2020-04-16,6090,6370,6040,6370,77410,ITD
2020-04-17,6120,6360,6120,6360,830,ITD
2020-04-20,6530,6530,5930,6200,33840,ITD
2020-04-21,5980,6200,5980,6110,14560,ITD
2020-04-22,6110,6110,6060,6090,13070,ITD
2020-04-23,6090,6090,5930,6090,40790,ITD
2020-04-24,6010,6090,6010,6090,11480,ITD
2020-04-27,6010,6070,5660,6070,10090,ITD
2020-04-28,6120,6120,6010,6010,11910,ITD
2020-04-29,6010,6090,6010,6010,3040,ITD
2020-05-04,6230,6230,6010,6010,8430,ITD
2020-05-05,6160,6160,6010,6010,2460,ITD
2020-05-06,5980,6100,5940,6100,9510,ITD
2020-05-07,6090,6520,6090,6230,40670,ITD
2020-05-08,6230,6450,6220,6220,13080,ITD
2020-05-11,6220,6230,6200,6220,17920,ITD
2020-05-12,6200,6200,6040,6040,5360,ITD
2020-05-13,6020,6160,6020,6040,15000,ITD
2020-05-14,6050,6050,6040,6040,3780,ITD
2020-05-15,5960,6200,5940,6200,19910,ITD
2020-05-18,6600,6600,6220,6530,5910,ITD
2020-05-19,6230,6380,6210,6380,2600,ITD
2020-05-20,6310,6380,6300,6300,990,ITD
2020-05-21,6340,6340,6160,6310,5260,ITD
2020-05-22,6290,6290,6210,6210,420,ITD
2020-05-25,6310,6310,5870,6200,12870,ITD
2020-05-26,6380,6380,6150,6200,24730,ITD
2020-05-27,6200,6230,6160,6220,22890,ITD
2020-05-28,6230,6340,6230,6230,13710,ITD
2020-05-29,6380,6380,6210,6310,11040,ITD
2020-06-01,6410,6750,6310,6690,13230,ITD
2020-06-02,6310,6680,6310,6390,27560,ITD
2020-06-03,6820,6820,6340,6750,700,ITD
2020-06-04,6750,6750,6470,6670,1090,ITD
2020-06-05,6460,6460,6420,6450,9030,ITD
